Mode,Ordering,Slots,TTFB Miliseconds,TTLB Miliseconds,Blocks,Id,ActualSlot
FixedBudget,Unordered,4,58.7255,125538.1391,16384,99,2
EarlyClose,Ordered,4,60.1613,54526.6881,6262,100,1
EarlyClose,Unordered,4,62.6032,105660.3931,14765,101,3
FixedBudget,Ordered,4,64.043,119167.7719,16384,102,1
FixedBudget,Unordered,4,58.0097,123541.2082,16384,103,0
EarlyClose,Ordered,4,61.1706,54954.9965,6370,104,1
EarlyClose,Unordered,4,57.9493,53970.6692,6297,105,1
FixedBudget,Ordered,4,60.8307,119641.9229,16384,106,1
FixedBudget,Unordered,4,57.7819,122724.8113,16384,107,1
EarlyClose,Ordered,4,56.9191,55226.7625,6199,108,1
EarlyClose,Unordered,4,57.022,78803.9017,10645,109,2
FixedBudget,Ordered,4,58.0235,120554.4652,16384,110,1
FixedBudget,Unordered,4,61.7742,124694.6663,16384,111,3
EarlyClose,Ordered,4,183.0341,54715.4245,6205,112,1
EarlyClose,Unordered,4,59.5188,104136.3489,14709,113,3
FixedBudget,Ordered,4,64.2161,120788.057,16384,114,1
FixedBudget,Unordered,4,57.0218,124635.1004,16384,115,3
EarlyClose,Ordered,4,64.1074,54820.1361,6312,116,1
EarlyClose,Unordered,4,63.822,79033.1075,10551,117,2
FixedBudget,Ordered,4,83.1024,119551.0648,16384,118,1
FixedBudget,Unordered,4,59.0108,123293.3614,16384,119,2
EarlyClose,Ordered,4,55.7126,54671.5784,6506,120,1
EarlyClose,Unordered,4,179.2339,54301.7512,6289,121,1
FixedBudget,Ordered,4,64.3755,119548.8497,16384,122,1
FixedBudget,Unordered,4,56.8532,124192.283,16384,123,0
EarlyClose,Ordered,4,202.3591,57713.973,6217,124,1
EarlyClose,Unordered,4,60.4042,54125.2617,6553,125,1
FixedBudget,Ordered,4,59.6676,118607.811,16384,126,1
FixedBudget,Unordered,4,60.0691,124996.0128,16384,127,0
EarlyClose,Ordered,4,56.4937,54720.1873,6609,128,1
EarlyClose,Unordered,4,60.6554,29150.2465,1868,129,0
FixedBudget,Ordered,4,56.9477,119301.196,16384,130,1
FixedBudget,Unordered,4,59.3928,124187.4127,16384,131,3
EarlyClose,Ordered,4,54.9619,54849.5336,6283,132,1
EarlyClose,Unordered,4,59.6819,79451.2815,10516,133,2
FixedBudget,Ordered,4,59.6973,119300.6625,16384,134,1
FixedBudget,Unordered,4,61.0922,123966.7476,16384,135,3
EarlyClose,Ordered,4,179.9921,55100.6665,6383,136,1
EarlyClose,Unordered,4,60.3079,54210.8631,6240,137,1
FixedBudget,Ordered,4,65.1965,120546.6308,16384,138,1
FixedBudget,Unordered,4,281.4086,126928.4908,16384,139,2
EarlyClose,Ordered,4,82.7759,54871.3988,6196,140,1
EarlyClose,Unordered,4,60.504,53805.0587,6237,141,1
FixedBudget,Ordered,4,65.9214,122117.8546,16384,142,1
FixedBudget,Unordered,4,151.3789,127136.6517,16384,143,0
EarlyClose,Ordered,4,60.2253,55146.9778,6399,144,1
EarlyClose,Unordered,4,62.508,104189.5966,14751,145,3
FixedBudget,Ordered,4,56.4917,119885.2304,16384,146,1
FixedBudget,Unordered,4,68.2947,125910.1678,16384,147,3
EarlyClose,Ordered,4,58.1613,55809.5907,6429,148,1
EarlyClose,Unordered,4,65.5452,54134.8223,6284,149,1
FixedBudget,Ordered,4,57.8759,118923.6386,16384,150,1
FixedBudget,Unordered,4,67.517,127656.4404,16384,151,3
EarlyClose,Ordered,4,64.401,55933.5905,6237,152,1
EarlyClose,Unordered,4,58.7502,29664.4073,1877,153,0
FixedBudget,Ordered,4,57.243,120895.4545,16384,154,1
FixedBudget,Unordered,4,225.3913,125779.9474,16384,155,3
EarlyClose,Ordered,4,62.8333,55789.3596,6393,156,1
EarlyClose,Unordered,4,59.8754,54633.4381,6252,157,1
FixedBudget,Ordered,4,61.6291,119013.646,16384,158,1
FixedBudget,Unordered,4,116.4888,127547.3901,16384,159,2
EarlyClose,Ordered,4,56.8921,56675.3508,6351,160,1
EarlyClose,Unordered,4,61.0168,29847.1494,1928,161,0
FixedBudget,Ordered,4,61.1831,117116.1122,16384,162,1
FixedBudget,Unordered,4,59.5704,125344.7832,16384,163,3
EarlyClose,Ordered,4,61.5858,55843.537,6443,164,1
EarlyClose,Unordered,4,59.7665,29731.2047,1983,165,0
FixedBudget,Ordered,4,65.1533,117769.4116,16384,166,1
FixedBudget,Unordered,4,55.4006,129088.0613,16384,167,2
EarlyClose,Ordered,4,192.5128,55538.0053,6362,168,1
EarlyClose,Unordered,4,58.3541,56715.431,6502,169,1
FixedBudget,Ordered,4,69.1122,117358.9672,16384,170,1
FixedBudget,Unordered,4,126.3722,126301.801,16384,171,0
EarlyClose,Ordered,4,59.9552,55797.4196,6324,172,1
EarlyClose,Unordered,4,57.6222,29472.2335,2030,173,0
FixedBudget,Ordered,4,57.5671,117204.0552,16384,174,1
FixedBudget,Unordered,4,70.3867,125095.5828,16384,175,2
EarlyClose,Ordered,4,92.1534,55733.0935,6464,176,1
EarlyClose,Unordered,4,70.4558,106644.3652,14390,177,3
FixedBudget,Ordered,4,59.3713,119381.9439,16384,178,1
FixedBudget,Unordered,4,66.8222,124907.8818,16384,179,2
EarlyClose,Ordered,4,58.5535,55836.2339,6209,180,1
EarlyClose,Unordered,4,66.4733,81250.5901,10292,181,2
FixedBudget,Ordered,4,60.4073,119869.6208,16384,182,1
FixedBudget,Unordered,4,63.2419,126061.8348,16384,183,3
EarlyClose,Ordered,4,216.4518,55832.4505,6299,184,1
EarlyClose,Unordered,4,63.8929,54981.4391,6386,185,1
FixedBudget,Ordered,4,64.1814,117953.8707,16384,186,1
FixedBudget,Unordered,4,58.5555,126063.0402,16384,187,2
EarlyClose,Ordered,4,57.9436,55762.7551,6237,188,1
EarlyClose,Unordered,4,62.2778,103919.2662,14814,189,3
FixedBudget,Ordered,4,59.6871,118165.9867,16384,190,1
FixedBudget,Unordered,4,58.5207,123225.9628,16384,191,3
EarlyClose,Ordered,4,55.3307,55733.4678,6339,192,1
EarlyClose,Unordered,4,62.0759,105908.4075,14648,193,3
FixedBudget,Ordered,4,63.2317,119261.6172,16384,194,1
FixedBudget,Unordered,4,68.3526,125479.6744,16384,195,2
EarlyClose,Ordered,4,203.5031,56449.3678,6217,196,1
EarlyClose,Unordered,4,63.8656,81296.6898,10435,197,2
FixedBudget,Ordered,4,59.1122,121468.9616,16384,198,1
FixedBudget,Unordered,4,59.6574,122532.2237,16384,199,1
EarlyClose,Ordered,4,63.7767,78300.3843,10442,200,2
EarlyClose,Unordered,4,64.103,77582.6734,10619,201,2
FixedBudget,Ordered,4,55.1205,118652.7184,16384,202,2
FixedBudget,Unordered,4,59.1145,119691.7043,16384,203,3
EarlyClose,Ordered,4,55.9318,76278.2498,10542,204,2
EarlyClose,Unordered,4,66.5117,102329.5004,14612,205,3
FixedBudget,Ordered,4,57.1371,115659.4566,16384,206,2
FixedBudget,Unordered,4,59.0801,120982.1475,16384,207,0
EarlyClose,Ordered,4,56.3551,77965.8282,10639,208,2
EarlyClose,Unordered,4,62.9517,80464.0161,10439,209,2
FixedBudget,Ordered,4,56.7214,115730.6539,16384,210,2
FixedBudget,Unordered,4,58.4669,119373.0499,16384,211,2
EarlyClose,Ordered,4,57.9038,78117.3409,10411,212,2
EarlyClose,Unordered,4,58.3157,28624.8765,1924,213,0
FixedBudget,Ordered,4,63.1829,116742.4727,16384,214,2
FixedBudget,Unordered,4,58.4222,120601.999,16384,215,2
EarlyClose,Ordered,4,59.53,77092.0812,10523,216,2
EarlyClose,Unordered,4,61.6594,26576.3834,1871,217,0
FixedBudget,Ordered,4,54.8395,114068.2662,16384,218,2
FixedBudget,Unordered,4,58.0435,121033.0964,16384,219,0
EarlyClose,Ordered,4,60.9065,77980.8239,10653,220,2
EarlyClose,Unordered,4,60.5007,78426.9211,10410,221,2
FixedBudget,Ordered,4,61.9175,114661.3743,16384,222,2
FixedBudget,Unordered,4,60.9737,119555.1517,16384,223,0
EarlyClose,Ordered,4,56.7105,78190.618,10697,224,2
EarlyClose,Unordered,4,66.7552,78421.7073,10477,225,2
FixedBudget,Ordered,4,81.6497,113973.3085,16384,226,2
FixedBudget,Unordered,4,57.4155,120584.5994,16384,227,0
EarlyClose,Ordered,4,62.9332,76801.2638,10540,228,2
EarlyClose,Unordered,4,63.6543,26777.9778,1952,229,0
FixedBudget,Ordered,4,58.6389,116017.7282,16384,230,2
FixedBudget,Unordered,4,59.8535,119381.1387,16384,231,2
EarlyClose,Ordered,4,58.906,77989.7471,10308,232,2
EarlyClose,Unordered,4,250.322,103516.7103,14451,233,3
FixedBudget,Ordered,4,59.5108,113552.1486,16384,234,2
FixedBudget,Unordered,4,59.8523,120513.9481,16384,235,0
EarlyClose,Ordered,4,56.5864,78139.8064,10698,236,2
EarlyClose,Unordered,4,67.0664,26633.7736,1926,237,0
FixedBudget,Ordered,4,57.6906,115402.8003,16384,238,2
FixedBudget,Unordered,4,59.8884,120552.2613,16384,239,1
EarlyClose,Ordered,4,57.8891,77814.9571,10813,240,2
EarlyClose,Unordered,4,63.1184,76091.4819,10316,241,2
FixedBudget,Ordered,4,56.6062,116616.8287,16384,242,2
FixedBudget,Unordered,4,60.6426,121263.6472,16384,243,1
EarlyClose,Ordered,4,60.3145,77610.4185,10551,244,2
EarlyClose,Unordered,4,62.5624,51423.1396,6419,245,1
FixedBudget,Ordered,4,59.0003,115731.4592,16384,246,2
FixedBudget,Unordered,4,58.2387,122514.5215,16384,247,0
EarlyClose,Ordered,4,60.847,77799.2413,10648,248,2
EarlyClose,Unordered,4,58.4139,51431.3756,6431,249,1
FixedBudget,Ordered,4,58.4632,115498.1188,16384,250,2
FixedBudget,Unordered,4,57.7822,120869.3778,16384,251,0
EarlyClose,Ordered,4,256.1766,78120.6146,10344,252,2
EarlyClose,Unordered,4,61.7781,26401.3719,1974,253,0
FixedBudget,Ordered,4,60.8113,114566.2328,16384,254,2
FixedBudget,Unordered,4,60.0213,122277.6435,16384,255,2
EarlyClose,Ordered,4,60.1612,77504.4848,10623,256,2
EarlyClose,Unordered,4,61.4781,102702.9809,14611,257,3
FixedBudget,Ordered,4,54.8385,117640.1634,16384,258,2
FixedBudget,Unordered,4,73.3264,124375.5073,16384,259,0
EarlyClose,Ordered,4,62.6264,79446.5616,10581,260,2
EarlyClose,Unordered,4,65.6772,26606.9597,1870,261,0
FixedBudget,Ordered,4,55.8376,115217.4877,16384,262,2
FixedBudget,Unordered,4,57.544,122375.1224,16384,263,2
EarlyClose,Ordered,4,61.512,79172.1832,10570,264,2
EarlyClose,Unordered,4,63.6063,26574.4974,1926,265,0
FixedBudget,Ordered,4,57.8081,117121.1272,16384,266,2
FixedBudget,Unordered,4,188.4595,122719.4697,16384,267,1
EarlyClose,Ordered,4,62.5978,77723.5276,10659,268,2
EarlyClose,Unordered,4,62.8211,76044.7534,10445,269,2
FixedBudget,Ordered,4,58.5814,115390.8164,16384,270,2
FixedBudget,Unordered,4,59.3225,123831.5787,16384,271,1
EarlyClose,Ordered,4,56.6085,77593.5438,10385,272,2
EarlyClose,Unordered,4,62.5616,78327.7935,10467,273,2
FixedBudget,Ordered,4,65.588,112914.6648,16384,274,2
FixedBudget,Unordered,4,61.3094,125170.6045,16384,275,2
EarlyClose,Ordered,4,57.7145,78100.3425,10742,276,2
EarlyClose,Unordered,4,59.2084,53469.3462,6458,277,1
FixedBudget,Ordered,4,60.9762,112770.5706,16384,278,2
FixedBudget,Unordered,4,171.1344,124750.7895,16384,279,1
EarlyClose,Ordered,4,57.4638,78137.8115,10674,280,2
EarlyClose,Unordered,4,63.1195,103693.3211,14400,281,3
FixedBudget,Ordered,4,62.0327,116958.8927,16384,282,2
FixedBudget,Unordered,4,64.8425,124207.2983,16384,283,3
EarlyClose,Ordered,4,60.3832,77237.6007,10555,284,2
EarlyClose,Unordered,4,64.4922,51235.7826,6538,285,1
