Start Time,TTFB,TTLB,Blocks Served,SlotOrder,Aborted?,Aborted at
04/18/2026 16:17:48,00:00:00.0640430,00:01:59.1677719,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 16:20:03,00:00:00.0608307,00:01:59.6419229,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 16:22:16,00:00:00.0580235,00:02:00.5544652,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 16:24:32,00:00:00.0642161,00:02:00.7880570,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 16:26:47,00:00:00.0831024,00:01:59.5510648,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 16:29:01,00:00:00.0643755,00:01:59.5488497,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 16:31:17,00:00:00.0596676,00:01:58.6078110,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 16:33:30,00:00:00.0569477,00:01:59.3011960,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 16:35:46,00:00:00.0596973,00:01:59.3006625,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 16:38:00,00:00:00.0651965,00:02:00.5466308,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 16:40:15,00:00:00.0659214,00:02:02.1178546,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 16:42:32,00:00:00.0564917,00:01:59.8852304,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 16:44:48,00:00:00.0578759,00:01:58.9236386,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 16:47:02,00:00:00.0572430,00:02:00.8954545,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 16:49:17,00:00:00.0616291,00:01:59.0136460,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 16:51:32,00:00:00.0611831,00:01:57.1161122,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 16:53:46,00:00:00.0651533,00:01:57.7694116,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 16:55:59,00:00:00.0691122,00:01:57.3589672,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 16:58:12,00:00:00.0575671,00:01:57.2040552,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 17:00:26,00:00:00.0593713,00:01:59.3819439,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 17:02:39,00:00:00.0604073,00:01:59.8696208,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 17:04:53,00:00:00.0641814,00:01:57.9538707,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 17:07:07,00:00:00.0596871,00:01:58.1659867,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 17:09:20,00:00:00.0632317,00:01:59.2616172,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 17:11:33,00:00:00.0591122,00:02:01.4689616,16384,[BBT01|LB01|PSC01|SLM01],False,
